,Venue,City,State
0,The Cheesecake Factory,Austin, Texas
1,Dunkin donuts,Chicago, Illinois
2,Chipotle Mexican Grill,Wilmington, North Carolina
3,Chick-Fil-A,Irving, Texas
4,Costco,Frederick, Maryland
5,Zaxby's,Commerce, Georgia
6,Domino's Pizza,Kalamazoo, Michigan
7,Subway,Mondovi, Wisconsin
8,Domino's Pizza,Warrensburg, Missouri
9,Other,Ann Arbor, Michigan
10,Whataburger,Katy, Texas
11,Pret a Manger,Chicago, Illinois
12,Dunkin donuts,Smyrna, Georgia
13,KFC,, County Limerick
14,Subway,London, Ontario
15,Bob Evans,Chillicothe, Ohio
16,Other,Los Angeles, California
17,McDonalds,Bergenfield, New Jersey
18,Safeway,Keizer, Oregon
19,Costco,Gilbert, Arizona
20,Other,Detroit, Michigan
21,Arby's,Warner Robins, Georgia
22,Wendy's,St. Catharines, Ontario
23,Denny's,Orlando, Florida
24,KFC,, Scotland
25,Other,Cape Town, Western Cape
26,Wendy's,Chicago, Illinois
27,Qdoba,Creve Coeur, Missouri
28,Taco Bell,Kirksville, Missouri
29,Popeyes,Pelham, Alabama
30,KFC,Marion, Iowa
31,Chipotle Mexican Grill,Goleta, California
32,Greggs,, England
33,Dairy Queen,Wichita, Kansas
34,Chipotle Mexican Grill,Seattle, Washington
35,Subway,Miami, Florida
36,Olive Garden,Pensacola, Florida
37,Wendy's,Hadley, Massachusetts
38,Other,Fairlawn, Ohio
39,KFC,, Vermont
40,Subway,Baldwin, Michigan
41,Chipotle Mexican Grill,Lake Oswego, Oregon
42,Jack in the Box,Modesto, California
43,Jack in the Box,Modesto, California
44,The Cheesecake Factory,Happy Valley, Oregon
45,Buffalo wild wings,Fishers, Indiana
46,Starbucks,Denver, Colorado
47,Dunkin donuts,Huntersville, North Carolina
48,Little Caesars Pizza,Davison, Michigan
49,Sonic,Chandler, Oklahoma
50,Olive Garden,Vestal, New York
51,McDonalds,Fuquay Varina, North Carolina
52,McDonalds,Birmingham, Alabama
53,Subway,Neenah, Wisconsin
54,Other,, England
55,McDonalds,Auburndale, Florida
56,Five Guys,Cary, North Carolina
57,Subway,, England
58,McDonalds,Midland, Ontario
59,Wendy's,Chula Vista, California
60,Little Caesars Pizza,Hutto, Texas
61,Chipotle Mexican Grill,West Hartford, Connecticut
62,Panda Express,Frisco, Texas
63,Domino's Pizza,Stoke-on-Trent, England
64,Popeyes,Honolulu, Hawaii
65,Raising Canes,Centerville, Ohio
66,Yard House,Pasadena, California
67,Panda Express,Antioch, California
68,Tijuana Flats,Lutz, Florida
69,Whole Foods Market,Los Angeles, California
70,Other,Tucson, Arizona
71,Pizza Hut,Fairburn, GA
72,Walmart,South Jordan, Utah
73,Qdoba,Louisville, Kentucky
74,Chick-Fil-A,Brownsville, Texas
75,Costco,Durham, North Carolina
76,Other,Punta Cana, La Altagracia
77,McDonalds,Cumming, Georgia
78,McDonalds,Taylor, Michigan
79,Sonic,Winter Haven, Florida
80,Burger King,Tarpon Springs, Florida
81,McDonalds,Highlands Ranch, Colorado
82,McDonalds,Dearborn Heights, Michigan
83,Chipotle Mexican Grill,Scottsdale, Arizona
84,Other,Milwaukee, Wisconsin
85,Taco Bell,Covington, Washington
86,Chipotle Mexican Grill,Marysville, Ohio
87,Costco,Kansas City, Missouri
88,Subway,New Westminster, British Columbia
89,Whole Foods Market,Virginia Beach, Virginia
90,Chipotle Mexican Grill,Folsom, California
91,Burger King,Fresno, California
92,Applebee's,La Crosse, Virginia
93,Sweet Tomatoes,Bradenton, Florida
94,The Melting Pot,Portland, Oregon
95,Other,Plano, Texas
96,McDonalds,Junction City, Kansas
97,Buffalo wild wings,Warrensburg, Missouri
98,Taco Bell,Chicago, Illinois
99,Chipotle Mexican Grill,New York, New York
100,Other,Costa Mesa, California
101,Taco Bell,Mishawaka, Indiana
102,Taco Bell,Hicksville, New York
103,Chipotle Mexican Grill,Dallas, Texas
104,Other,Salt Lake City, Utah
105,Other,Las Vegas, Nevada
106,Arby's,Spring, Texas
107,Sonic,Ville Platte, Louisiana
108,Chipotle Mexican Grill,Dallas, Texas
109,Other,Fort Collins, Colorado
110,Chipotle Mexican Grill,Pasadena, California
111,Chick-Fil-A,Bryan, Texas
112,Papa John's,Kent, Ohio
113,Taco Bell,Las Cruces, New Mexico
114,McDonalds,Saugerties, New York
115,Chipotle Mexican Grill,El Paso, Texas
116,Disneyland,Anaheim, California
117,Jack in the Box,Corona, California
118,Chipotle Mexican Grill,Orlando, Florida
119,Taco Bell,Dora, Alabama
120,Wendy's,Greenville, Michigan
121,Other,Immokalee, Florida
122,Chipotle Mexican Grill,Arvada, Colorado
123,McDonalds,Tompkinsville, Kentucky
124,Little Caesars Pizza,West Jordan, Utah
125,Mellow mushroom,Mount Pleasant, South Carolina
126,Moe's Southwest grill,Evansville, Indiana
127,Wendy's,Rancho Mirage, California
128,McDonalds,Denver, Colorado
129,Chipotle Mexican Grill,Hopkins, Minnesota
130,Chipotle Mexican Grill,Pasadena, California
131,Burger King,New York, New York
132,Other,Windsor, Ontario
133,Target,Bristol, Virginia
134,Domino's Pizza,Maryville, Tennessee
135,Sonic,Grove City, Ohio
136,Popeyes,Richmond, Virginia
137,Little Caesars Pizza,Charlotte, North Carolina
138,Other,Haddonfield, New Jersey
139,Delta Airlines,Houston, Texas
140,Other,Fairport, New York
141,Taco Bell,Lynchburg, Virginia
142,Buffalo wild wings,Champaign, Illinois
143,Applebee's,Federal Way, Washington
144,Domino's Pizza,Wahiawa, Hawaii
145,Other,Papendrecht, Zuid-Holland
146,Whole Foods Market,Exton, Pennsylvania
147,Wendy's,Bushnell, Florida
148,Subway,Hamilton, Ontario
149,McDonalds,Toledo, Ohio
150,Other,Singapore, 
151,Starbucks,Las Vegas, Nevada
152,Jack in the Box,, 
153,Chick-Fil-A,Gilbert, Arizona
154,Trader Joe's,Santa Clarita, California
155,Carl's Jr,West Valley City, Utah
156,McDonalds,Tumwater, Washington
157,Other,Silver Spring, Maryland
158,Chipotle Mexican Grill,Los Angeles, California
159,Other,Pittsburgh, Pennsylvania
160,Delta Airlines,Honolulu, Hawaii
161,Burger King,Ocala, Florida
162,Panda Express,Phoenix, Arizona
163,Trader Joe's,Burbank, California
164,Wawa,Langhorne, Pennsylvania
165,Other,Mauldin, South Carolina
166,Panera Bread,Knoxville, TN
